"id";"nom";"categorie";"type";"plugin_origine";"id_local";"plugin_final";"editor_id";"statut_nom";"source_nom";"exclusion";"disponibilite_serveur"
"skyrim.esm|0BF403";"Arc d'ébonite de terreur";"Arme";"WEAP";"Skyrim.esm";"0BF403";"Skyrim.esm";"EnchEbonyBowFear05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF412";"Arc d'ébonite de tonnerre";"Arme";"WEAP";"Skyrim.esm";"0BF412";"Skyrim.esm";"EnchEbonyBowShock04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF418";"Arc d'ébonite de torpeur";"Arme";"WEAP";"Skyrim.esm";"0BF418";"Skyrim.esm";"EnchEbonyBowStamina04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF41D";"Arc d'ébonite sacré";"Arme";"WEAP";"Skyrim.esm";"0BF41D";"Skyrim.esm";"EnchEbonyBowTurn06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF41C";"Arc d'ébonite saint";"Arme";"WEAP";"Skyrim.esm";"0BF41C";"Skyrim.esm";"EnchEbonyBowTurn05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF41B";"Arc d'ébonite sanctifié";"Arme";"WEAP";"Skyrim.esm";"0BF41B";"Skyrim.esm";"EnchEbonyBowTurn04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"dawnguard.esm|0176F1";"Arc d'os de dragon";"Arme";"WEAP";"Dawnguard.esm";"0176F1";"Dawnguard.esm";"DLC1DragonboneBow";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"skyrim.esm|0139B5";"Arc daedra";"Arme";"WEAP";"Skyrim.esm";"0139B5";"Update.esm";"DaedricBow";"Table française";"Skyrim - Interface.bsa : strings\update_french.strings";"";"À vérifier"
"skyrim.esm|01DFF3";"Arc daedra d'anathème";"Arme";"WEAP";"Skyrim.esm";"01DFF3";"Skyrim.esm";"EnchDaedricBowSoulTrap04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE1";"Arc daedra d'angoisse";"Arme";"WEAP";"Skyrim.esm";"01DFE1";"Skyrim.esm";"EnchDaedricBowFear04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE0";"Arc daedra d'annihilation";"Arme";"WEAP";"Skyrim.esm";"01DFE0";"Skyrim.esm";"EnchDaedricBowBanish06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE3";"Arc daedra d'effroi";"Arme";"WEAP";"Skyrim.esm";"01DFE3";"Skyrim.esm";"EnchDaedricBowFear06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF9";"Arc daedra d'épuisement";"Arme";"WEAP";"Skyrim.esm";"01DFF9";"Skyrim.esm";"EnchDaedricBowStamina06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFDF";"Arc daedra d'expulsion";"Arme";"WEAP";"Skyrim.esm";"01DFDF";"Skyrim.esm";"EnchDaedricBowBanish05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFEE";"Arc daedra d'immobilisation";"Arme";"WEAP";"Skyrim.esm";"01DFEE";"Skyrim.esm";"EnchDaedricBowParalyze05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE6";"Arc daedra d'incinération";"Arme";"WEAP";"Skyrim.esm";"01DFE6";"Skyrim.esm";"EnchDaedricBowFire06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFED";"Arc daedra d'inertie";"Arme";"WEAP";"Skyrim.esm";"01DFED";"Skyrim.esm";"EnchDaedricBowParalyze04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFDE";"Arc daedra de bannissement";"Arme";"WEAP";"Skyrim.esm";"01DFDE";"Skyrim.esm";"EnchDaedricBowBanish04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE8";"Arc daedra de blizzard";"Arme";"WEAP";"Skyrim.esm";"01DFE8";"Skyrim.esm";"EnchDaedricBowFrost05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE5";"Arc daedra de brasier";"Arme";"WEAP";"Skyrim.esm";"01DFE5";"Skyrim.esm";"EnchDaedricBowFire05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF5";"Arc daedra de damnation";"Arme";"WEAP";"Skyrim.esm";"01DFF5";"Skyrim.esm";"EnchDaedricBowSoulTrap06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFEB";"Arc daedra de débilitation";"Arme";"WEAP";"Skyrim.esm";"01DFEB";"Skyrim.esm";"EnchDaedricBowMagicka05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFEA";"Arc daedra de dégradation";"Arme";"WEAP";"Skyrim.esm";"01DFEA";"Skyrim.esm";"EnchDaedricBowMagicka04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE4";"Arc daedra de flambée";"Arme";"WEAP";"Skyrim.esm";"01DFE4";"Skyrim.esm";"EnchDaedricBowFire04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE7";"Arc daedra de frimas";"Arme";"WEAP";"Skyrim.esm";"01DFE7";"Skyrim.esm";"EnchDaedricBowFrost04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF2";"Arc daedra de fulguration";"Arme";"WEAP";"Skyrim.esm";"01DFF2";"Skyrim.esm";"EnchDaedricBowShock06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE9";"Arc daedra de glaciation";"Arme";"WEAP";"Skyrim.esm";"01DFE9";"Skyrim.esm";"EnchDaedricBowFrost06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF8";"Arc daedra de léthargie";"Arme";"WEAP";"Skyrim.esm";"01DFF8";"Skyrim.esm";"EnchDaedricBowStamina05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF4";"Arc daedra de malédiction";"Arme";"WEAP";"Skyrim.esm";"01DFF4";"Skyrim.esm";"EnchDaedricBowSoulTrap05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFEF";"Arc daedra de pétrification";"Arme";"WEAP";"Skyrim.esm";"01DFEF";"Skyrim.esm";"EnchDaedricBowParalyze06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFEC";"Arc daedra de suppression";"Arme";"WEAP";"Skyrim.esm";"01DFEC";"Skyrim.esm";"EnchDaedricBowMagicka06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF1";"Arc daedra de tempête";"Arme";"WEAP";"Skyrim.esm";"01DFF1";"Skyrim.esm";"EnchDaedricBowShock05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFE2";"Arc daedra de terreur";"Arme";"WEAP";"Skyrim.esm";"01DFE2";"Skyrim.esm";"EnchDaedricBowFear05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF0";"Arc daedra de tonnerre";"Arme";"WEAP";"Skyrim.esm";"01DFF0";"Skyrim.esm";"EnchDaedricBowShock04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFF7";"Arc daedra de torpeur";"Arme";"WEAP";"Skyrim.esm";"01DFF7";"Skyrim.esm";"EnchDaedricBowStamina04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFFC";"Arc daedra sacré";"Arme";"WEAP";"Skyrim.esm";"01DFFC";"Skyrim.esm";"EnchDaedricBowTurn06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFFB";"Arc daedra saint";"Arme";"WEAP";"Skyrim.esm";"01DFFB";"Skyrim.esm";"EnchDaedricBowTurn05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|01DFFA";"Arc daedra sanctifié";"Arme";"WEAP";"Skyrim.esm";"01DFFA";"Skyrim.esm";"EnchDaedricBowTurn04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|013985";"Arc de chasse";"Arme";"WEAP";"Skyrim.esm";"013985";"Skyrim.esm";"HuntingBow";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0A7359";"Arc de chasse béni";"Arme";"WEAP";"Skyrim.esm";"0A7359";"Skyrim.esm";"EnchHuntingBowTurn02";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
