"lieu";"cellule";"cellule_id";"reference";"objet";"base_id";"type";"plugin_placement";"plugin_objet";"concerne_keizaal";"desactive_initialement";"activation_conditionnelle";"script";"x";"y";"z"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|026F13";"Julienne Lylvieve";"skyrim.esm|026F0F";"NPC_";"HearthFires.esm";"Skyrim.esm";"true";"false";"false";"true";"958.410888671875";"-13.187257766723633";"240"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|019A2F";"Michelle Lylvieve";"skyrim.esm|019A2E";"NPC_";"HearthFires.esm";"Skyrim.esm";"true";"false";"false";"false";"936.22119140625";"76.75348663330078";"240"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|019A2B";"Azzada Lylvieve";"skyrim.esm|019A2A";"NPC_";"HearthFires.esm";"Skyrim.esm";"true";"false";"false";"false";"1010.76611328125";"77.18289184570312";"240"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5361";"Red Apple";"skyrim.esm|064B2E";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1117.67333984375";"161.570068359375";"303.4919738769531"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5360";"Green Apple";"skyrim.esm|064B2F";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1101.37451171875";"146.3438720703125";"303.39434814453125"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E535F";"Green Apple";"skyrim.esm|064B2F";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1103.19873046875";"156.2928009033203";"305.46502685546875"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E535E";"Red Apple";"skyrim.esm|064B2E";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1091.18017578125";"150.47503662109375";"309.23944091796875"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E535D";"Green Apple";"skyrim.esm|064B2F";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1095.8021240234375";"161.10757446289062";"303.3927001953125"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E535C";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1076.54833984375";"146.4597930908203";"303.1514892578125"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E535B";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1060.30810546875";"155.8594512939453";"307.3431701660156"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E535A";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1055.923828125";"148.35556030273438";"303.05023193359375"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5357";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1089.099853515625";"145.07473754882812";"348.09942626953125"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5356";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1084.946044921875";"159.49139404296875";"348.0830078125"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5349";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1118.30908203125";"-23.555702209472656";"304.3406677246094"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5345";"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"824.727783203125";"-286.6661682128906";"240"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5344";"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"775.645751953125";"-256.6697082519531";"240"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5332";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"751.67626953125";"7.213623046875";"0"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5326";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1110.83203125";"140.74468994140625";"62.545082092285156"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E530C";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1047.8956298828125";"-24.960935592651367";"303.3404235839844"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5303";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"935.725830078125";"162.69473266601562";"0"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5300";"Bread";"skyrim.esm|065C97";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"1156.8609619140625";"-56.07236099243164";"303.34051513671875"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|05844F";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"-3467.72705078125";"-1702.592041015625";"-1689"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|058422";"Coffre";"skyrim.esm|08A3B4";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-41.065101623535156";"-257.41827392578125";"-896"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|058391";"Coffre";"skyrim.esm|08A3B4";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1054.9239501953125";"-123.94175720214844";"-384"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B246";"Potion of Minor Healing";"skyrim.esm|03EADD";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"25.06941795349121";"-205.5714874267578";"-826.7594604492188"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B245";"Potion of Minor Healing";"skyrim.esm|03EADD";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"32.72231674194336";"-204.60870361328125";"-832.993408203125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B205";"Potion of Minor Healing";"skyrim.esm|03EADD";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-272.0425109863281";"589.9928588867188";"-278.6187438964844"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B1F4";"Coffre";"skyrim.esm|08A3B6";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-41.065101623535156";"-257.41827392578125";"-896"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B1F5";"Coffre";"skyrim.esm|08A3B6";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1054.9239501953125";"-123.94175720214844";"-384"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08A686";"Bread";"skyrim.esm|065C98";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"64.6415023803711";"-89.55506896972656";"-832.993408203125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA28C";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-346.37921142578125";"585.755126953125";"-365.05126953125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA277";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-355.21954345703125";"585.40966796875";"-368.75048828125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA276";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"-373.8878173828125";"592.447509765625";"-363.327392578125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA10E";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-251.19776916503906";"574.9635620117188";"-324.08154296875"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA0BC";"Petit sac";"skyrim.esm|097F51";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-314.79547119140625";"596.9574584960938";"-362.582763671875"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C88C5";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-216.97669982910156";"385.6880187988281";"-375.1033020019531"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C88C7";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-345.5649719238281";"588.1700439453125";"-319.15386962890625"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C96E8";"Sacoche";"skyrim.esm|0ACD6F";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-702.5826416015625";"-442.97137451171875";"-836.8114013671875"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DEF";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"false";"false";"-515.5913696289062";"-520.8975830078125";"-323.1661071777344"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DF4";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-842.0712890625";"-170.4073028564453";"-847.3508911132812"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DF5";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-800.0162963867188";"-158.7120819091797";"-884.8150024414062"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DF7";"Grand sac";"skyrim.esm|097F6E";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-832.6727905273438";"-210.26467895507812";"-795.9138793945312"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DFE";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-827.2597045898438";"-423.1631164550781";"-882.4427490234375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E01";"Black-Briar Mead";"skyrim.esm|02C35A";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-846.181640625";"-419.8966369628906";"-882.7855224609375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E02";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-866.0557861328125";"-422.8979797363281";"-874.8914794921875"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E03";"Honningbrew Mead";"skyrim.esm|0508CA";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-883.9444580078125";"-418.535888671875";"-882.8499755859375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E04";"Black-Briar Mead";"skyrim.esm|02C35A";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-888.2089233398438";"-410.7499694824219";"-882.7855224609375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E20";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1078.7403564453125";"-35.293907165527344";"-860.7662353515625"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E21";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1074.3995361328125";"-112.1684799194336";"-884.9982299804688"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E23";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1105.3162841796875";"-48.50391387939453";"-881.6913452148438"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E24";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1106.0731201171875";"0.05214345455169678";"-880.3363037109375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E2D";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1011.3504638671875";"523.1668701171875";"-777.7932739257812"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E33";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-542.3735961914062";"918.841796875";"-871.7205810546875"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E36";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-115.27237701416016";"904.9161987304688";"-827.0081176757812"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E3F";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"87.9341812133789";"72.93773651123047";"-833.1444702148438"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E40";"Grand sac";"skyrim.esm|097F6C";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-384.83648681640625";"535.7138061523438";"-817.98876953125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E8E";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"150.37950134277344";"225.3555908203125";"-847.0698852539062"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E8F";"Grand sac";"skyrim.esm|097F6C";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"123.41117858886719";"254.8299102783203";"-873.9053344726562"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E9B";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"185.37193298339844";"186.719482421875";"-870.3312377929688"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8EEB";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"122.6247787475586";"162.96202087402344";"-896.9420776367188"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8EED";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-696.1554565429688";"306.0589904785156";"-896.8382568359375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8F39";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-732.6815795898438";"266.7392883300781";"-898.1329956054688"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8F3F";"Grand sac";"skyrim.esm|097F6E";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-495.9449462890625";"446.00262451171875";"-813.345703125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8FC9";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-380.3415832519531";"468.2383117675781";"-839.720703125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C905D";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-774.6092529296875";"-479.5411682128906";"-897.1368408203125"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C915C";"Nord Mead";"skyrim.esm|034C5D";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-666.0108032226562";"282.1561584472656";"-893.3079833984375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C915D";"Ale";"skyrim.esm|034C5E";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-657.9205322265625";"278.55316162109375";"-892.8031005859375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C91AC";"Ale";"skyrim.esm|034C5E";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-653.5596313476562";"263.7499084472656";"-892.8031005859375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C91BF";"Ale";"skyrim.esm|034C5E";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-677.0088500976562";"251.14053344726562";"-892.8031005859375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C91C0";"Ale";"skyrim.esm|034C5E";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"-693.4033813476562";"269.6405334472656";"-892.8031005859375"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8D47";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-868.7553100585938";"916.281982421875";"-384.6290588378906"
"Ambassade du Thalmor";"Grotte de Relent";"skyrim.esm|027F1A";"skyrim.esm|02FB40";"TreasCorpseWarlockDarkElfMale";"skyrim.esm|01A768";"NPC_";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1225.3001708984375";"1165.003173828125";"286.4681701660156"
"Ambassade du Thalmor";"Grotte de Relent";"skyrim.esm|027F1A";"skyrim.esm|02FB3D";"Sacoche";"skyrim.esm|0ACD6F";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1133.8408203125";"1180.996337890625";"300.3970642089844"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CED6";"Meule d'eidar";"skyrim.esm|064B34";"ALCH";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2718.570556640625";"1272.8905029296875";"7277.0537109375"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CED4";"Meule de fromage de chèvre";"skyrim.esm|064B33";"ALCH";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2758.19091796875";"1318.1046142578125";"7368.59814453125"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CED2";"Pot en fonte";"skyrim.esm|0318FB";"MISC";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2726.70654296875";"1275.8634033203125";"7368.6005859375"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CECA";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2917.578125";"1326.0380859375";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CEC8";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2703.654052734375";"1212.865966796875";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CEC7";"Placard";"skyrim.esm|024CA4";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2740.401123046875";"1305.6793212890625";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CEA0";"Panier";"skyrim.esm|012FE7";"MISC";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2072.251708984375";"1156.4600830078125";"7215.10302734375"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE9A";"Commode";"skyrim.esm|024CA5";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2108.00537109375";"878.091064453125";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE99";"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1998.3319091796875";"1134.5965576171875";"7294.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE98";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2029.1280517578125";"1141.6204833984375";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE97";"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1974.6885986328125";"1124.293212890625";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE96";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2077.367919921875";"1345.8465576171875";"7294.19970703125"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE94";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2015.2332763671875";"1230.26953125";"7214.69140625"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE88";"Table basse";"skyrim.esm|024CA6";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1440.4610595703125";"644.1107788085938";"7214.69140625"
