"lieu";"cellule";"cellule_id";"reference";"objet";"base_id";"type";"plugin_placement";"plugin_objet";"concerne_keizaal";"desactive_initialement";"activation_conditionnelle";"script";"x";"y";"z";"contenu_direct"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5345";"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"824.727783203125";"-286.6661682128906";"240";"LItemBarrelFoodRawMeatSame × 1 [skyrim.esm|10D9C2] ; LItemFoodSaltSmall × 1 [skyrim.esm|10D964]"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5344";"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"775.645751953125";"-256.6697082519531";"240";"LItemBarrelFoodRawMeatSame × 1 [skyrim.esm|10D9C2] ; LItemFoodSaltSmall × 1 [skyrim.esm|10D964]"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5332";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"751.67626953125";"7.213623046875";"0";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|0E5303";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"935.725830078125";"162.69473266601562";"0";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|05844F";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"-3467.72705078125";"-1702.592041015625";"-1689";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootBanditLockpick25 × 1 [skyrim.esm|08FFF4] ; LootImperialLuck × 2 [skyrim.esm|0AA02C] ; LootBanditScrolls10 × 1 [skyrim.esm|0A44CD] ; LootBanditGems10 × 1 [skyrim.esm|087780] ; LootBanditJewelry10 × 1 [skyrim.esm|08777E] ; LootBanditIngots10 × 1 [skyrim.esm|08777D] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootBanditArmor25 × 1 [skyrim.esm|06883A] ; LootBanditWeapon15 × 1 [skyrim.esm|068838] ; LootBanditSoulGems10 × 1 [skyrim.esm|068835] ; LootGoldChange × 10 [skyrim.esm|037C2B] ; LootBanditChestPotions15 × 1 [skyrim.esm|03A5A6] ; LootPotionRestoreHMS25 × 2 [skyrim.esm|0C2966] ; LItemSpecialLoot10 × 1 [skyrim.esm|10B2C0] ; LItemTorch05 × 1 [skyrim.esm|000E60]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|058422";"Coffre";"skyrim.esm|08A3B4";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-41.065101623535156";"-257.41827392578125";"-896";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootGoldChange × 1 [skyrim.esm|037C2B] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootImperialLuck × 5 [skyrim.esm|0AA02C] ; LootCWImperialsArmor25 × 1 [skyrim.esm|07151F] ; LootCWImperialsArrows25 × 1 [skyrim.esm|0714A3] ; LootCWImperialsChestPotions25 × 1 [skyrim.esm|071537] ; LootCWImperialsIngots10 × 1 [skyrim.esm|07152A] ; LootCWImperialsGold × 1 [skyrim.esm|0714EE] ; LootCWImperialsJewelry25 × 1 [skyrim.esm|0714FD] ; LootCWImperialsScrolls10 × 1 [skyrim.esm|071519] ; LootCWImperialsWeapon15 × 1 [skyrim.esm|071520] ; LootPotionRestoreHMS25 × 1 [skyrim.esm|0C2966]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|058391";"Coffre";"skyrim.esm|08A3B4";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1054.9239501953125";"-123.94175720214844";"-384";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootGoldChange × 1 [skyrim.esm|037C2B] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootImperialLuck × 5 [skyrim.esm|0AA02C] ; LootCWImperialsArmor25 × 1 [skyrim.esm|07151F] ; LootCWImperialsArrows25 × 1 [skyrim.esm|0714A3] ; LootCWImperialsChestPotions25 × 1 [skyrim.esm|071537] ; LootCWImperialsIngots10 × 1 [skyrim.esm|07152A] ; LootCWImperialsGold × 1 [skyrim.esm|0714EE] ; LootCWImperialsJewelry25 × 1 [skyrim.esm|0714FD] ; LootCWImperialsScrolls10 × 1 [skyrim.esm|071519] ; LootCWImperialsWeapon15 × 1 [skyrim.esm|071520] ; LootPotionRestoreHMS25 × 1 [skyrim.esm|0C2966]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B1F4";"Coffre";"skyrim.esm|08A3B6";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-41.065101623535156";"-257.41827392578125";"-896";"LootPotionRestoreHMS25 × 1 [skyrim.esm|0C2966] ; LootGoldChange × 1 [skyrim.esm|037C2B] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; LootCWSonsGold × 1 [skyrim.esm|071526] ; LootCWSonsArmor25 × 1 [skyrim.esm|071521] ; LootCWSonsArrows25 × 1 [skyrim.esm|071522] ; LootCWSonsChestPotions25 × 1 [skyrim.esm|071551] ; LootCWSonsJewelry25 × 1 [skyrim.esm|071527] ; LootCWSonsScrolls10 × 1 [skyrim.esm|071528] ; LootCWSonsWeapon15 × 1 [skyrim.esm|071529] ; LootCWSonsIngots10 × 1 [skyrim.esm|07152B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|08B1F5";"Coffre";"skyrim.esm|08A3B6";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1054.9239501953125";"-123.94175720214844";"-384";"LootPotionRestoreHMS25 × 1 [skyrim.esm|0C2966] ; LootGoldChange × 1 [skyrim.esm|037C2B] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; LootCWSonsGold × 1 [skyrim.esm|071526] ; LootCWSonsArmor25 × 1 [skyrim.esm|071521] ; LootCWSonsArrows25 × 1 [skyrim.esm|071522] ; LootCWSonsChestPotions25 × 1 [skyrim.esm|071551] ; LootCWSonsJewelry25 × 1 [skyrim.esm|071527] ; LootCWSonsScrolls10 × 1 [skyrim.esm|071528] ; LootCWSonsWeapon15 × 1 [skyrim.esm|071529] ; LootCWSonsIngots10 × 1 [skyrim.esm|07152B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA28C";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-346.37921142578125";"585.755126953125";"-365.05126953125";"LItemBarrelFoodSameSmall × 1 [skyrim.esm|10D95B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA277";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-355.21954345703125";"585.40966796875";"-368.75048828125";"LItemBarrelFoodSameSmall × 1 [skyrim.esm|10D95B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA276";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"-373.8878173828125";"592.447509765625";"-363.327392578125";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0AA0BC";"Petit sac";"skyrim.esm|097F51";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-314.79547119140625";"596.9574584960938";"-362.582763671875";"LItemBarrelFoodSameSmall × 1 [skyrim.esm|10D95B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C96E8";"Sacoche";"skyrim.esm|0ACD6F";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-702.5826416015625";"-442.97137451171875";"-836.8114013671875";"LootPotionRestoreHMS25 × 1 [skyrim.esm|0C2966] ; LItemLockPick75 × 1 [skyrim.esm|09AF10] ; LootGoldChange × 1 [skyrim.esm|037C2B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DF4";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-842.0712890625";"-170.4073028564453";"-847.3508911132812";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DF5";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-800.0162963867188";"-158.7120819091797";"-884.8150024414062";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8DF7";"Grand sac";"skyrim.esm|097F6E";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-832.6727905273438";"-210.26467895507812";"-795.9138793945312";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E20";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1078.7403564453125";"-35.293907165527344";"-860.7662353515625";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E21";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1074.3995361328125";"-112.1684799194336";"-884.9982299804688";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E23";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1105.3162841796875";"-48.50391387939453";"-881.6913452148438";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E24";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1106.0731201171875";"0.05214345455169678";"-880.3363037109375";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E2D";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-1011.3504638671875";"523.1668701171875";"-777.7932739257812";"LItemBarrelFoodSameSmall × 1 [skyrim.esm|10D95B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E33";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-542.3735961914062";"918.841796875";"-871.7205810546875";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E36";"Sac";"skyrim.esm|097F6A";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-115.27237701416016";"904.9161987304688";"-827.0081176757812";"LItemBarrelFoodSameSmall × 1 [skyrim.esm|10D95B]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E3F";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"87.9341812133789";"72.93773651123047";"-833.1444702148438";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E40";"Grand sac";"skyrim.esm|097F6C";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-384.83648681640625";"535.7138061523438";"-817.98876953125";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E8E";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"150.37950134277344";"225.3555908203125";"-847.0698852539062";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E8F";"Grand sac";"skyrim.esm|097F6C";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"123.41117858886719";"254.8299102783203";"-873.9053344726562";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8E9B";"Grand sac";"skyrim.esm|097F54";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"185.37193298339844";"186.719482421875";"-870.3312377929688";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8EEB";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"122.6247787475586";"162.96202087402344";"-896.9420776367188";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8EED";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-696.1554565429688";"306.0589904785156";"-896.8382568359375";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8F39";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-732.6815795898438";"266.7392883300781";"-898.1329956054688";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8F3F";"Grand sac";"skyrim.esm|097F6E";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-495.9449462890625";"446.00262451171875";"-813.345703125";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8FC9";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-380.3415832519531";"468.2383117675781";"-839.720703125";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C905D";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-774.6092529296875";"-479.5411682128906";"-897.1368408203125";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootBanditLockpick25 × 1 [skyrim.esm|08FFF4] ; LootImperialLuck × 2 [skyrim.esm|0AA02C] ; LootBanditScrolls10 × 1 [skyrim.esm|0A44CD] ; LootBanditGems10 × 1 [skyrim.esm|087780] ; LootBanditJewelry10 × 1 [skyrim.esm|08777E] ; LootBanditIngots10 × 1 [skyrim.esm|08777D] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootBanditArmor25 × 1 [skyrim.esm|06883A] ; LootBanditWeapon15 × 1 [skyrim.esm|068838] ; LootBanditSoulGems10 × 1 [skyrim.esm|068835] ; LootGoldChange × 10 [skyrim.esm|037C2B] ; LootBanditChestPotions15 × 1 [skyrim.esm|03A5A6] ; LootPotionRestoreHMS25 × 2 [skyrim.esm|0C2966] ; LItemSpecialLoot10 × 1 [skyrim.esm|10B2C0] ; LItemTorch05 × 1 [skyrim.esm|000E60]"
"Fort Néograd";"Fort Néograd - Prison";"skyrim.esm|01CE8A";"skyrim.esm|0C8D47";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"true";"false";"-868.7553100585938";"916.281982421875";"-384.6290588378906";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootBanditLockpick25 × 1 [skyrim.esm|08FFF4] ; LootImperialLuck × 2 [skyrim.esm|0AA02C] ; LootBanditScrolls10 × 1 [skyrim.esm|0A44CD] ; LootBanditGems10 × 1 [skyrim.esm|087780] ; LootBanditJewelry10 × 1 [skyrim.esm|08777E] ; LootBanditIngots10 × 1 [skyrim.esm|08777D] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootBanditArmor25 × 1 [skyrim.esm|06883A] ; LootBanditWeapon15 × 1 [skyrim.esm|068838] ; LootBanditSoulGems10 × 1 [skyrim.esm|068835] ; LootGoldChange × 10 [skyrim.esm|037C2B] ; LootBanditChestPotions15 × 1 [skyrim.esm|03A5A6] ; LootPotionRestoreHMS25 × 2 [skyrim.esm|0C2966] ; LItemSpecialLoot10 × 1 [skyrim.esm|10B2C0] ; LItemTorch05 × 1 [skyrim.esm|000E60]"
"Ambassade du Thalmor";"Grotte de Relent";"skyrim.esm|027F1A";"skyrim.esm|02FB3D";"Sacoche";"skyrim.esm|0ACD6F";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1133.8408203125";"1180.996337890625";"300.3970642089844";"LootPotionRestoreHMS25 × 1 [skyrim.esm|0C2966] ; LItemLockPick75 × 1 [skyrim.esm|09AF10] ; LootGoldChange × 1 [skyrim.esm|037C2B]"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CECA";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2917.578125";"1326.0380859375";"7214.69140625";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CEC8";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2703.654052734375";"1212.865966796875";"7214.69140625";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CEC7";"Placard";"skyrim.esm|024CA4";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2740.401123046875";"1305.6793212890625";"7214.69140625";"LItemMiscVendorMiscItems75 × 4 [skyrim.esm|09AF0A]"
"Écuries de Blancherive";"Guard Barracks";"skyrim.esm|0580A2";"skyrim.esm|07CE9A";"Commode";"skyrim.esm|024CA5";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2108.00537109375";"878.091064453125";"7214.69140625";"LItemMiscVendorClothing75 × 4 [skyrim.esm|09AF15]"
